DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Levegő-páratartalom; Légnyomás; Széllökés; Belső akkufeszültség; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Szélirány; Talajnedvesség 60 cm; Talajhőmérséklet 0 cm; Besugárzás; Fagy; Fényegység; Csapadék; Levélnedvesség; Szélsebesség; Külső akkufeszültség
2021-03-15 00:00:00; 8,68377;   5,17881;  80,82628; 995,16846;  26,46787;   4,22246;  25,03009;  27,85205;  21,93893;  24,41951;   4,86980;  36,96629;-9999,00000;2495,25700;   0,00219;   0,00000;  21,13502;-9999,00000
2021-03-21 00:00:00; 11,05192;   0,67724;  55,84338;1007,45810;   8,76232;   4,22731;  24,68697;  26,06469; 308,33460;  24,05263;   2,69400; 192,93372;-9999,00000;2602,40800;   0,00000;   0,00000;   6,43406;-9999,00000
2021-03-20 00:00:00; 10,89293;   1,11890;  61,01303;1011,53630;   9,40507;   4,22681;  24,74309;  26,17960;  32,49556;  24,15970;   3,06542; 168,62129;-9999,00000;2623,61040;   0,00000;   0,00000;   7,10797;-9999,00000
2021-03-22 00:00:00; 9,93651;   1,66901;  64,15349;1002,38500;  17,59479;   4,22597;  24,67007;  25,99670;  40,13377;  24,04866;   2,22378;  68,01620;-9999,00000;2531,99930;   0,00000;   0,00000;  14,12880;-9999,00000
2021-03-27 00:00:00; 10,83282;   9,21059;  55,20331;1014,19055;  12,43957;   4,22475;  27,36439;  29,29447; 161,76617;  26,37664;   7,67951; 197,14636;-9999,00000;2691,30620;   0,00000;   0,00000;   9,55971;-9999,00000
2021-03-26 00:00:00; 11,06241;   6,66914;  58,03076;1014,68365;   6,15501;   4,22532;  26,66783;  28,78535; 203,76378;  25,68530;   7,02754; 214,78963;-9999,00000;2664,60700;   0,00034;   0,18833;   4,19394;-9999,00000
2021-03-25 00:00:00; 11,06602;   3,68034;  55,11937;1012,68695;   8,12003;   4,22634;  24,58605;  25,83942; 318,08720;  23,92205;   4,29139; 202,25545;-9999,00000;2632,64180;   0,00000;   0,00000;   5,77079;-9999,00000
2021-03-24 00:00:00; 10,90814;   5,22028;  51,57344;1010,89777;  18,03396;   4,22564;  24,62149;  26,05764; 336,41120;  23,97366;   5,10042; 199,11517;-9999,00000;2589,11670;   0,00000;   0,00000;  14,31503;-9999,00000
2021-03-23 00:00:00; 10,75491;   4,68497;  53,32938;1008,96090;  14,81142;   4,22484;  24,63601;  25,95248; 327,08450;  23,97232;   3,72441; 155,85031;-9999,00000;2663,24170;   0,00000;   0,00000;  11,26734;-9999,00000
2021-04-02 00:00:00; 10,69582;  13,18689;  64,45885;1001,94030;  13,50754;   4,22481;  25,82584;  28,27144; 343,50116;  25,23080;  13,03621; 144,04396;-9999,00000;2617,92630;   0,00000;   0,00000;  10,38622;  13,20738
2021-04-01 00:00:00; 10,74538;  15,04474;  64,08630;1007,64720;  12,41977;   4,22255;  25,85229;  28,30631; 209,80590;  25,23919;  12,83924; 174,04596;-9999,00000;2634,24100;   0,00000;   0,00000;   9,55874;  13,18938
2021-03-31 00:00:00; 10,87300;  13,29480;  64,12840;1016,67860;   6,19656;   4,22488;  25,94523;  28,32769;   3,61297;  25,34990;  11,62528; 155,40097;-9999,00000;2626,32570;   0,00000;   0,00000;   4,25825;  13,25356
2021-03-30 00:00:00; 10,49799;  11,78309;  55,13328;1020,88745;   7,16439;   4,22454;  26,05024;  28,26471; 115,05427;  25,34990;   9,71573; 145,30028;-9999,00000;2594,72500;   0,00000;   0,00000;   5,18449;-9999,00000
