DATE; Talajhőmérséklet 0 cm; Szélirány; Talajnedvesség 30 cm; Széllökés; Levegő-hőmérséklet; Szélsebesség; Csapadék; Talajnedvesség 90 cm; Besugárzás; Levegő-páratartalom; Talajnedvesség 60 cm
2021-01-07 03:00:00; 4,72075; 203,42780;  11,46419;   1,23997;   1,53817;   0,94597;   0,00000;  17,61695;   0,00000;  99,99799;  12,10745
2021-01-07 00:00:00; 5,21120; 351,57654;  11,49861;   0,31551;   1,42131;   0,08247;   0,00000;  17,63064;   0,00000;  99,97791;  12,12288
2021-01-07 01:00:00; 5,06470;  22,40774;  11,47970;   0,18647;   0,38450;   0,06505;   0,00000;  17,62833;   0,00000;  99,99799;  12,12577
2021-01-06 23:00:00; 5,34055; 242,77243;  11,51439;   0,63401;   2,60899;   0,26901;   0,00000;  17,63680;   0,00000;  99,99799;  12,11988
2021-01-07 04:00:00; 4,58876;   8,40981;  11,45810;   0,47122;   0,75181;   0,23966;   0,00000;  17,61800;   0,00000;  99,99799;  12,10919
2021-01-06 22:00:00; 5,47638; 204,22942;  11,52417;   0,82619;   2,84290;   0,48039;   0,00000;  17,63650;   0,00000;  99,98904;  12,12788
2021-01-06 21:00:00; 5,60142;  85,05926;  11,54142;   0,92556;   3,13499;   0,62746;   0,00000;  17,63554;   0,00000;  99,96441;  12,14191
2021-01-06 17:00:00; 5,95369;  61,25899;  11,58038;   0,81721;   4,30310;   0,44776;   0,00000;  17,67118;   0,00000;  99,99799;  12,16939
2021-01-06 18:00:00; 5,84329; 181,27827;  11,57671;   2,23984;   5,28076;   1,50395;   0,00000;  17,66217;   0,00000;  98,78851;  12,15223
2021-01-06 19:00:00; 5,80724; 162,55365;  11,57193;   1,20948;   5,55349;   0,73491;   0,00000;  17,65239;   0,00000;  95,93864;  12,14539
2021-01-06 16:00:00; 6,10959;  77,02595;  11,58730;   1,05187;   4,85750;   0,70639;   0,00000;  17,67144;   0,00000;  98,93264;  12,17746
2021-01-06 20:00:00; 5,74027; 117,26747;  11,55646;   0,71213;   3,98105;   0,35099;   0,00000;  17,64168;   0,00000;  98,26142;  12,14530
2021-01-06 14:00:00; 6,30174; 136,44235;  11,61245;   1,63306;   8,20752;   1,18333;   0,00000;  17,67976;  24,18224;  85,57337;  12,17870
2021-01-06 15:00:00; 6,25117;  78,14952;  11,59799;   1,11802;   6,16753;   0,78788;   0,00000;  17,67318;   0,30806;  94,76434;  12,17675
2021-01-05 23:00:00; 5,32252;  46,89133;  11,73172;   2,99907;   3,60282;   2,14366;   0,00000;  17,74440;   0,00000;  99,99799;  12,28552
2021-01-06 13:00:00; 6,23191; 155,98882;  11,63569;   2,09911;   9,91592;   1,54534;   0,00000;  17,68529; 104,83027;  77,89992;  12,18877
2021-01-06 12:00:00; 6,01428; 174,11777;  11,65401;   3,03364;   9,86807;   2,26470;   0,00000;  17,69154; 182,90033;  77,61013;  12,19338
2021-01-06 10:00:00; 5,45819; 165,06947;  11,68041;   2,96014;   8,27035;   2,24850;   0,00000;  17,69120; 235,86736;  88,59476;  12,18640
2021-01-06 11:00:00; 5,72843; 168,66148;  11,66753;   3,37556;   9,55200;   2,58995;   0,00000;  17,69108; 234,70186;  80,23185;  12,18843
2021-01-06 09:00:00; 5,31877; 129,98282;  11,67252;   1,56473;   5,54230;   1,14325;   0,00000;  17,69452;  97,33844;  98,84661;  12,18896
2021-01-06 08:00:00; 5,24282; 148,70600;  11,67872;   1,08453;   4,81853;   0,73086;   0,00000;  17,70220;  39,70861;  99,19247;  12,19155
2021-01-06 04:00:00; 5,22756;  70,09740;  11,68453;   1,53261;   3,36053;   1,05223;   0,00000;  17,71139;   0,00000;  98,61144;  12,24374
2021-01-06 05:00:00; 5,21069; 198,08037;  11,66855;   1,33443;   3,42983;   0,63951;   0,00000;  17,71445;   0,00000;  98,91742;  12,23620
2021-01-06 06:00:00; 5,20470;  70,59651;  11,65637;   1,46782;   3,33134;   0,91322;   0,10870;  17,71148;   1,07386;  99,94822;  12,20819
2021-01-06 07:00:00; 5,20170;  97,27688;  11,66846;   1,27836;   3,77390;   0,87949;   0,00000;  17,70389;  17,92741;  99,99799;  12,19424
2021-01-06 03:00:00; 5,24813;  54,03488;  11,69240;   1,77679;   3,48352;   1,25442;   0,00000;  17,71724;   0,00000;  99,50866;  12,25886
2021-01-06 00:00:00; 5,29981;  49,62255;  11,72233;   2,86214;   3,79360;   2,13730;   0,00000;  17,74374;   0,00000;  99,99799;  12,27134
2021-01-06 01:00:00; 5,28236;  52,88746;  11,71443;   2,71732;   3,76827;   2,00105;   0,00000;  17,73383;   0,00000;  99,99799;  12,26872
2021-01-06 02:00:00; 5,26186;  56,23838;  11,70489;   2,56052;   3,60765;   1,73095;   0,00000;  17,72407;   0,00000;  99,99799;  12,27138
2021-01-05 22:00:00; 5,32969;  42,24244;  11,74217;   2,08740;   3,53043;   1,50220;   0,00000;  17,74505;   0,00000;  99,99799;  12,28242
2021-01-05 19:00:00; 5,41903;  67,20478;  11,76481;   1,58270;   2,56850;   1,17355;   0,00000;  17,76687;   0,00000;  99,99799;  12,30682
2021-01-05 20:00:00; 5,35978;  66,51235;  11,75877;   2,35363;   2,98664;   1,72624;   0,00000;  17,76000;   0,00000;  99,99799;  12,29623
2021-01-05 17:00:00; 5,69360;  54,58054;  11,78575;   0,73745;   2,97309;   0,39774;   0,00000;  17,77482;   0,00000;  97,43746;  12,32317
2021-01-05 18:00:00; 5,54983;  65,71761;  11,76568;   1,12264;   2,11636;   0,70990;   0,00000;  17,77576;   0,00000;  99,61285;  12,30816
2021-01-05 16:00:00; 5,75897; 109,50001;  11,80296;   0,69988;   4,42366;   0,40539;   0,00000;  17,76953;   0,00000;  93,48560;  12,33780
2021-01-05 14:00:00; 5,80607; 207,78711;  11,83120;   2,13912;   4,89841;   1,57571;   0,00000;  17,77901;   9,21803;  92,90476;  12,34241
2021-01-05 15:00:00; 5,78470; 205,97661;  11,82016;   1,48824;   4,75712;   0,91107;   0,00000;  17,76986;   0,45986;  92,69013;  12,33911
2021-01-05 13:00:00; 5,81556; 206,75350;  11,84834;   2,37242;   4,98764;   1,69634;   0,00000;  17,78443;  26,07081;  93,23943;  12,35776
2021-01-05 11:00:00; 5,76265; 205,09247;  11,87384;   2,28258;   5,45771;   1,68987;   0,00000;  17,79275;  61,79760;  92,22076;  12,35441
2021-01-05 12:00:00; 5,80568; 192,70615;  11,86050;   2,20092;   5,15358;   1,64299;   0,00000;  17,79307;  42,58364;  93,38982;  12,35968
2021-01-05 10:00:00; 5,69363; 207,20987;  11,88578;   2,00219;   5,30639;   1,42661;   0,00000;  17,78919;  75,45383;  92,87622;  12,35978
2021-01-05 08:00:00; 5,62421; 220,79636;  11,90746;   1,76972;   4,54975;   1,18290;   0,00000;  17,79090;  32,86939;  96,91622;  12,37223
2021-01-05 09:00:00; 5,63525; 213,15437;  11,89393;   2,21126;   4,99733;   1,54859;   0,00000;  17,78671;  76,39996;  94,45852;  12,37143
2021-01-05 06:00:00; 5,66081; 233,58185;  11,91902;   1,56800;   4,43257;   0,99462;   0,00000;  17,79915;   1,91610;  98,19210;  12,37813
