DATE; Besugárzás; Levegő-hőmérséklet; Levegő-páratartalom; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Csapadék; Szélirány; Széllökés; Talajhőmérséklet 0 cm; Szélsebesség; Levélnedvesség
2021-03-26 03:40:00; 0,00000;  -0,28858;  87,45255;  49,76549;  30,92446;  27,18751;   0,00000; 169,21110;   0,54227;   4,10849;   0,32429;-9999,00000
2021-03-26 03:50:00; 0,00000;   0,34104;  84,49455;  49,76071;  30,92282;  27,18981;   0,00000; 175,94120;   0,89180;   4,09752;   0,71957;-9999,00000
2021-03-26 04:00:00; 0,00000;   0,48983;  82,72855;  49,75680;  30,91972;  27,18847;   0,00000; 113,80535;   0,89670;   4,08368;   0,51509;-9999,00000
2021-03-26 04:10:00; 0,00000;  -0,23028;  84,68000;  49,75467;  30,92156;  27,19100;   0,00000; 123,72104;   0,58147;   4,07035;   0,24917;-9999,00000
2021-03-26 04:20:00; 0,00000;  -0,68428;  86,09600;  49,75269;  30,92006;  27,19140;   0,00000;   0,00000;   0,00000;   4,05763;   0,00000;-9999,00000
2021-03-26 04:30:00; 2,92257;  -0,68080;  86,44511;  49,74910;  30,91577;  27,19140;   0,00000; 116,89841;   0,42303;   4,04347;   0,12740;-9999,00000
2021-03-26 04:40:00; 10,77923;  -0,60089;  86,82327;  49,74194;  30,90478;  27,19140;   0,00000;  74,53909;   0,27277;   4,03218;   0,09473;-9999,00000
2021-03-26 04:50:00; 22,27103;  -0,53070;  88,34212;  49,73899;  30,89710;  27,19140;   0,00000;   3,71822;   0,07023;   4,01344;   0,00780;-9999,00000
2021-03-26 05:00:00; 37,86526;  -0,59976;  85,63645;  49,73987;  30,90174;  27,19107;   0,00000;  73,13611;   0,86730;   3,99739;   0,50188;-9999,00000
2021-03-26 05:30:00; 84,81750;   1,47846;  76,71611;  49,73141;  30,94023;  27,19060;   0,00000; 126,35881;   0,40507;   3,95609;   0,23574;-9999,00000
2021-03-26 05:10:00; 56,57975;  -0,09289;  81,94488;  49,73799;  30,90539;  27,19140;   0,00000;  73,30415;   0,65987;   3,98148;   0,50906;-9999,00000
