DATE; Légnyomás; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Levegő-hőmérséklet; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Fényegység; Talajnedvesség 120 cm; Csapadék; Külső akkufeszültség; Besugárzás; Levélnedvesség; Belső akkufeszültség; Szélsebesség; Levegő-páratartalom; Talajhőmérséklet 0 cm; Szélirány
2021-02-09 00:00:00; 994,54510;-9999,00000;   7,21865;  35,32029;   4,31099;   4,10320;  33,83022;  33,56726;1592,57290;-9999,00000;   0,01593;  12,93216;  42,25525;   5,01742;   4,24116;   1,56940;  97,10248;   4,34716; 203,24303
2021-02-08 00:00:00; 988,15470;-9999,00000;   6,49509;  35,26667;   5,89362;  13,27046;  34,12433;  33,31245;1410,77430;-9999,00000;   0,03731;  12,84225;  25,36713;   5,03496;   4,24035;   5,06406;  93,54568;   5,21171; 300,88477
2021-02-07 00:00:00; 996,70966;-9999,00000;   7,08872;  34,54503;   4,81205;   9,53025;  30,95227;  32,79425;1548,47910;-9999,00000;   0,00000;  12,92560;  39,43859;   5,03147;   4,23751;   5,30605;  95,83536;   4,51915; 117,62811
2021-02-19 00:00:00; 1015,33520;-9999,00000;   8,25872;  34,27374;   4,23972;   3,25623;  30,12555;  32,45141;1756,07640;-9999,00000;   0,00000;  13,11710;  61,41608;   5,03496;   4,24510;   0,18149;  89,97877;   1,85583; 267,82056
2021-02-18 00:00:00; 1012,96220;-9999,00000;   9,19371;  34,28810;   4,82128;   1,73665;  30,15431;  32,52630;1759,19450;-9999,00000;   0,00000;  13,17954; 100,57692;   5,03496;   4,24216;   0,04982;  83,47178;   0,93369;  35,09850
2021-02-17 00:00:00; 1011,11490;-9999,00000;   7,77380;  34,42100;   2,34575;   1,74733;  30,34499;  32,76347;1723,73960;-9999,00000;   0,00228;  13,08764;  42,32518;   5,03496;   4,24407;   0,01779;  78,87721;  -0,40426; 318,08987
2021-02-16 00:00:00; 1020,01110;-9999,00000;   8,11657;  34,56037;  -1,09715;   1,69892;  30,58977;  32,92573;1662,01390;-9999,00000;   0,00000;  13,17822;  60,61404;   5,03496;   4,24643;   0,04301;  76,49756;  -0,59893; 285,39750
2021-02-15 00:00:00; 1026,93690;-9999,00000;   9,40721;  34,65194;  -2,82571;   0,98566;  30,67699;  33,05904;1775,18750;-9999,00000;   0,00000;  13,33009; 110,91549;   5,07042;   4,24761;   0,02867;  76,50470;  -0,64393;  29,42027
2021-02-14 00:00:00; 1027,38420;-9999,00000;   9,09550;  34,77050;  -2,94464;   4,42652;  30,88926;  33,18501;1738,42710;-9999,00000;   0,00000;  13,30970;  86,26761;   5,05263;   4,24774;   0,95699;  76,21928;  -0,58861;  13,46100
2021-02-25 00:00:00; 1025,23450;-9999,00000;   9,36216;  34,27500;   8,70282;   0,31673;  30,90979;  32,70063;1757,64590;-9999,00000;   0,00000;-9999,00000; 119,65278;   5,01742;   4,24481;   0,00000;  78,80300;   5,25725; 289,16766
