DATE; Talajnedvesség 90 cm; Napelem töltőfeszültség; Levegő-páratartalom; Belső akkufeszültség; Besugárzás; Talajnedvesség 60 cm; Fényegység; Széllökés; Talajhőmérséklet 0 cm; Fagy; Levegő-hőmérséklet; Csapadék; Szélirány; Légnyomás; Levélnedvesség; Szélsebesség; Talajnedvesség 30 cm; Külső akkufeszültség
2021-04-13 00:00:00; 23,50210;   9,82429;  85,62610;   4,21599;  51,84211;  21,06222; 408,67596;   8,48029;  11,63720;-9999,00000;   8,43865;   0,01905; 289,19920;1005,65900;   2,67483;   3,23298;  20,49665;  13,01681
2021-04-09 00:00:00; 23,45978;  11,31722;  57,91163;   4,22809; 243,40350;  21,13158;1422,57640;   9,88571;   7,19683;-9999,00000;   5,46148;   0,00000; 245,13348;1017,07640;   1,06643;   4,29286;  20,90696;  13,24390
2021-04-10 00:00:00; 23,44469;  10,98845;  43,78085;   4,22574; 225,45296;  21,06803;1351,44980;  13,50714;   8,89129;-9999,00000;  10,77817;   0,00000; 213,36975;1011,32470;   0,00000;   6,79643;  20,83724;  13,17233
2021-03-27 00:00:00; 23,80349;  10,60914;  52,67786;   4,22574; 197,43903;  21,78869;1191,37160;   9,97865;   8,53637;-9999,00000;  10,28842;   0,00000; 217,06906;1013,08510;   0,00000;   4,87545;  24,09804;-9999,00000
2021-03-28 00:00:00; 23,80263;  10,60456;  43,79938;   4,21768; 156,04015;  21,77908; 940,01820;  10,56343;   9,23211;-9999,00000;  10,72103;   0,00000; 305,63632;1018,90220;   0,00000;   4,14179;  23,83313;-9999,00000
2021-03-29 00:00:00; 23,80642;  10,62045;  53,57407;   4,22698; 159,86014;  21,79080;1000,42017;   4,88256;   8,53931;-9999,00000;   8,82711;   0,00000; 355,92584;1021,56790;   0,00000;   1,58007;  23,49563;-9999,00000
2021-03-30 00:00:00; 23,83125;  10,28522;  53,79734;   4,22419; 158,87152;  21,76053; 983,06920;   3,74468;  10,36795;-9999,00000;  11,91818;   0,00000;  72,23637;1019,61060;   0,03472;   1,24823;  23,20762;-9999,00000
2021-03-07 00:00:00; 24,20661;  10,06744;  54,67094;   4,22974; 165,55943;  22,11317;1083,75700;   6,07527;   3,83908;-9999,00000;   2,39894;   0,00000; 254,42545;1015,27460;   0,00000;   2,56631;  24,91752;-9999,00000
2021-03-08 00:00:00; 24,15415;  10,06152;  55,53312;   4,22425; 163,23944;  22,05157;1018,87460;   7,56835;   3,87138;-9999,00000;   3,66277;   0,00000; 296,31370;1007,07390;   0,00000;   2,92806;  24,78036;-9999,00000
2021-03-09 00:00:00; 24,08714;  10,19749;  51,81798;   4,23001; 153,35088;  21,98995; 918,67820;   7,86380;   3,85317;-9999,00000;   2,04468;   0,00000;  50,74434;1009,61880;   0,00000;   2,76702;  24,66765;-9999,00000
2021-03-10 00:00:00; 24,04101;  10,06849;  55,15674;   4,23067; 139,61267;  21,93545; 920,78750;   6,14695;   3,21761;-9999,00000;   1,34291;   0,00000;  61,50862;1008,82660;   0,00000;   1,96774;  24,50311;-9999,00000
2021-03-11 00:00:00; 23,96848;  10,00205;  53,58252;   4,22943; 160,64685;  21,85384;1001,61804;  13,11786;   3,61233;-9999,00000;   3,41201;   0,00000; 195,85522;1009,29926;   0,00000;   6,67857;  24,36632;-9999,00000
2021-03-12 00:00:00; 23,92526;   9,05157;  68,96690;   4,22407;  80,52447;  21,79159; 480,72570;  17,55357;   5,70280;-9999,00000;   8,09297;   0,00395; 261,25836;1003,34735;   1,36364;   9,24286;  24,32100;-9999,00000
2021-03-21 00:00:00; 23,80893;  10,60265;  54,47926;   4,23030; 168,19930;  21,72985;1133,12110;   5,96786;   4,67544;-9999,00000;   2,47289;   0,00000; 352,55730;1006,06480;   0,00000;   1,93571;  25,16874;-9999,00000
2021-03-22 00:00:00; 23,80308;   9,80017;  64,98132;   4,22949;  82,44718;  21,72131; 552,44446;   9,17563;   3,71760;-9999,00000;   1,42411;   0,00000;  27,29386;1000,89060;   0,24648;   3,50538;  25,02882;-9999,00000
2021-03-23 00:00:00; 23,76075;  10,49471;  55,71109;   4,22870; 141,62587;  21,69225; 969,42706;   8,85000;   4,30564;-9999,00000;   4,74452;   0,00000;  22,28399;1007,51080;   0,00000;   2,92143;  24,89044;-9999,00000
2021-03-24 00:00:00; 23,73492;  10,84806;  49,28632;   4,22818; 214,43860;  21,69411;1254,67710;  12,31183;   6,55669;-9999,00000;   5,76206;   0,00000;  69,62848;1009,33020;   0,01754;   5,17563;  24,73132;-9999,00000
2021-03-25 00:00:00; 23,78721;  10,81477;  50,25258;   4,22900; 204,92982;  21,76242;1278,21610;   5,74286;   5,89334;-9999,00000;   4,76890;   0,00000;  25,91742;1011,22150;   0,00000;   1,99286;  24,53438;-9999,00000
2021-03-26 00:00:00; 23,77802;  10,51503;  54,11984;   4,22689; 200,74913;  21,77163;1221,70940;   4,11388;   7,53287;-9999,00000;   7,96197;   0,00000; 275,10050;1013,41800;   0,00000;   1,29537;  24,34184;-9999,00000
2021-03-16 00:00:00; 24,00568;   9,53727;  69,04645;   4,22300;  83,43860;  21,71900; 555,71430;  13,24731;   5,51824;-9999,00000;   5,59082;   0,00079;  69,06078; 996,38810;   0,12281;   5,06810;  25,42809;-9999,00000
2021-03-17 00:00:00; 23,96037;   9,77430;  66,71249;   4,22418;  97,51748;  21,70232; 632,88930;  15,16786;   5,08204;-9999,00000;   5,20848;   0,00000;  68,01979;1000,41020;   0,00000;   5,91071;  25,57574;-9999,00000
2021-03-18 00:00:00; 23,92108;   9,49552;  71,26382;   4,22773;  78,65385;  21,71401; 498,56598;  10,59075;   5,24126;-9999,00000;   3,77420;   0,00158;  60,92412;1004,27924;   1,20629;   3,73310;  25,50349;-9999,00000
2021-03-19 00:00:00; 23,90636;  10,15992;  65,14040;   4,22926; 140,84210;  21,73406; 790,35420;   6,24373;   5,08803;-9999,00000;   2,46184;   0,00000;   2,24690;1005,79846;   0,21127;   2,03584;  25,40412;-9999,00000
2021-01-14 00:00:00; 24,46550;   6,24826;  89,23881;   4,21898;  23,79371;  22,43434; 670,82640;   8,67857;   0,84718;-9999,00000;  -0,02650;   0,00397; 295,05230; 999,58936;   1,75439;   3,61071;  26,59369;  12,36018
2021-03-20 00:00:00; 23,85300;  10,59832;  62,01671;   4,23047; 168,04578;  21,73542;1104,10800;   6,17266;   4,80671;-9999,00000;   2,31815;   0,00000;  61,15734;1010,21875;   1,23239;   2,49281;  25,29878;-9999,00000
