DATE; Levegő-páratartalom; Belső akkufeszültség; Napelem töltőfeszültség; Talajnedvesség 90 cm; Fagy; Talajnedvesség 30 cm; Talajhőmérséklet 0 cm; Talajnedvesség 60 cm; Csapadék; Szélirány; Légnyomás; Széllökés; Szélsebesség; Levegő-hőmérséklet; Fényegység; Besugárzás; Levélnedvesség; Külső akkufeszültség
2021-03-18 00:00:00; 80,31461;   4,20803;   9,65817;  27,40751;-9999,00000;  22,21877;   6,43364;  32,97561;   0,00000; 205,58267;1004,95210;   4,22718; 130,10290;   3,49884;2915,88260;  23,73321;   0,00000;-9999,00000
2021-03-17 00:00:00; 71,71647;   4,21280;   9,89484;  27,65631;-9999,00000;  22,44030;   4,93549;  33,44151;   0,00000; 296,86798;1002,42310;  22,13893;  17,50852;   4,43058;2879,34180; 165,89610;   0,00000;-9999,00000
2021-04-10 00:00:00; 49,67008;   4,20073;  11,12717;  27,01572;-9999,00000;  22,05887;   9,42841;  32,67483;   0,00000; 170,89223;1009,40186;  15,96693;  12,55140;  10,16762;2446,14090; 219,63371;   0,00000;  11,82648
2021-03-05 00:00:00; 67,02326;   4,22481;   8,70345;  26,89707;-9999,00000;  21,74937;   6,35433;  32,34503;   0,00015; 264,11940;1006,13010;  15,31461;  12,13967;   6,50863;2092,56520;  59,62553;   0,00000;-9999,00000
2021-03-04 00:00:00; 61,87196;   4,22530;   9,48136;  26,89757;-9999,00000;  21,74679;   6,27567;  32,30297;   0,00000; 186,48608;1008,59930;   5,86383;   4,16643;   6,27441;2005,69580; 117,03426;   0,00000;-9999,00000
2021-03-03 00:00:00; 64,14893;   4,22428;   9,79110;  26,89875;-9999,00000;  21,73393;   5,98379;  32,26817;   0,00000; 140,02774;1019,81570;   6,56813;   4,67412;   5,62654;2065,07000; 163,50821;   0,00139;-9999,00000
2021-03-02 00:00:00; 72,41650;   4,22535;   9,88813;  26,89791;-9999,00000;  21,72469;   5,64647;  32,30240;   0,00000; 226,96828;1024,84990;   4,68303;   3,04982;   3,78401;2080,57080; 157,94853;   0,01814;-9999,00000
2021-03-01 00:00:00; 72,19079;   4,22536;   9,91656;  26,95683;-9999,00000;  21,76536;   5,63653;  32,35505;   0,00000; 350,58768;1021,89154;   8,09098;   5,98051;   3,86429;2021,96530; 151,92143;   0,00000;-9999,00000
2021-04-16 00:00:00; 74,75259;   4,22552;  10,77687;  29,24916;-9999,00000;  22,75389;   6,13345;  34,24007;   0,00000; 266,97256;1010,36115;  12,21429;   8,22500;   5,11624;2400,70390; 108,02867;   0,00000;  13,25806
2021-04-15 00:00:00; 79,26219;   4,22384;  11,40238;  30,99879;-9999,00000;  23,73470;   6,33403;  38,68169;   0,00000; 275,48224;1010,30810;  17,06429;  12,08571;   4,20755;2489,02440; 149,12500;   0,27875;  13,30744
2021-04-14 00:00:00; 92,69456;   4,09385;   8,17266;  29,67204;-9999,00000;  24,30208;   6,89798;  37,82651;   0,00915; 302,75323;1007,43700;  20,61780;  16,27487;   2,86908;2046,65780;  37,23307;   1,30241;  11,28663
