DATE; Széllökés; Talajnedvesség 30 cm; Talajnedvesség 90 cm; Besugárzás; Csapadék; Talajnedvesség 60 cm; Szélsebesség; Levegő-páratartalom; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség
2021-04-11 03:00:00; 0,71159;  27,20529;  27,02110;   0,00852;   0,00000;  45,18420;   0,43415;  81,12972;   2,69509;   6,79683; 109,04720;-9999,00000
2021-04-08 19:00:00; 0,54118;  27,69375;  26,89016;   0,00000;   0,00000;  46,01958;   0,20747;  80,97887;   1,83699;   6,38909; 265,92493;-9999,00000
2021-04-08 20:00:00; 0,71513;  27,66344;  26,89586;   0,00000;   0,00000;  46,01722;   0,47712;  79,19450;   1,50093;   6,21888; 274,00290;-9999,00000
2021-04-08 18:00:00; 0,92964;  27,72807;  26,86894;   0,00000;   0,00000;  46,02298;   0,47706;  81,26631;   2,58835;   6,52302; 236,37955;-9999,00000
2021-04-08 17:00:00; 2,01036;  27,75238;  26,85755;   2,55391;   0,00000;  46,03555;   1,22939;  72,71143;   4,41306;   6,61779; 285,95966;-9999,00000
2021-04-08 16:00:00; 1,72671;  27,76004;  26,89325;  53,21434;   0,00000;  46,03136;   1,19364;  56,80178;   6,34532;   6,67945; 262,97946;-9999,00000
2021-04-08 15:00:00; 2,85861;  27,79132;  26,89380; 182,09062;   0,00000;  46,06264;   1,95634;  55,44127;   7,37072;   6,69133; 279,57910;-9999,00000
2021-04-08 13:00:00; 3,16649;  27,83225;  26,89369; 342,31910;   0,00000;  46,14220;   2,08309;  56,22570;   7,95988;   6,53672; 274,84740;-9999,00000
2021-04-08 14:00:00; 2,45735;  27,81964;  26,89360; 336,51608;   0,00000;  46,10096;   1,75299;  51,04871;   7,91972;   6,64228; 275,82490;-9999,00000
2021-04-08 12:00:00; 2,46116;  27,82517;  26,88872; 418,89673;   0,00000;  46,16965;   1,59654;  65,42031;   7,19586;   6,39785; 243,79580;-9999,00000
2021-04-08 11:00:00; 2,20037;  27,83032;  26,88927; 223,78096;   0,00000;  46,18845;   1,32684;  66,36692;   6,90803;   6,22553; 270,42630;-9999,00000
2021-04-08 10:00:00; 2,25917;  27,84380;  26,93497; 297,84592;   0,00000;  46,23230;   1,32014;  58,00119;   7,66150;   5,98096; 265,58630;-9999,00000
2021-04-08 09:00:00; 2,26734;  27,84405;  26,93620; 431,77100;   0,00000;  46,28252;   1,43379;  59,87875;   6,70883;   5,73316; 272,84320;-9999,00000
2021-04-08 08:00:00; 2,95089;  27,85407;  26,93620; 391,50735;   0,00000;  46,32499;   1,73532;  54,24818;   6,32438;   5,52580; 237,69524;-9999,00000
2021-04-08 07:00:00; 2,59782;  27,85687;  26,95722; 242,59358;   0,00000;  46,35279;   1,75972;  57,98595;   5,02734;   5,37805; 215,93192;-9999,00000
2021-04-08 06:00:00; 2,55018;  27,85597;  26,97379; 287,92923;   0,00000;  46,35878;   1,86415;  63,79337;   3,77359;   5,29508; 207,29420;-9999,00000
2021-04-08 05:00:00; 2,45681;  27,80013;  26,98036; 173,31133;   0,00000;  46,40561;   1,88118;  71,64776;   1,61420;   5,33886; 206,62529;-9999,00000
2021-04-08 04:00:00; 1,61101;  27,78580;  26,95924;  29,84596;   0,00000;  46,44185;   1,28050;  77,87708;  -0,34148;   5,46019; 209,32207;-9999,00000
2021-04-08 03:00:00; 1,54377;  27,80166;  26,97503;   0,00000;   0,00000;  46,45250;   1,21879;  80,05668;  -0,68072;   5,60516; 205,50700;-9999,00000
