DATE; Napelem töltőfeszültség; Talajhőmérséklet 0 cm; Talajnedvesség 30 cm; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 60 cm; Csapadék; Talajnedvesség 90 cm; Széllökés; Levélnedvesség; Fagy; Fényegység; Besugárzás; Külső akkufeszültség; Belső akkufeszültség; Levegő-páratartalom; Levegő-hőmérséklet; Szélirány; Légnyomás
2021-01-21 01:00:00; 0,00000;   0,50000;  30,11000;   4,50000;-9999,00000;  32,37100;   0,00000;  34,68158;   9,08333;   5,00000;-9999,00000;   0,00000;   0,00000;  12,81083;   4,24375;  92,44916;   0,36667; 234,74753;1009,08330
2021-01-21 02:00:00; 0,00000;   0,50000;  30,07033;   4,54545;-9999,00000;  32,37100;   0,00000;  34,71133;   9,81818;   5,00000;-9999,00000;   0,00000;   0,00000;  12,80467;   4,24275;  89,42667;   1,70833; 270,17682;1008,37494
2021-01-21 03:00:00; 0,00000;   0,40833;  29,99100;   7,33333;-9999,00000;  32,37100;   0,00000;  34,72125;  14,75000;   5,00000;-9999,00000; 649,16670;   0,00000;  12,79658;   4,24342;  85,24455;   2,73636; 283,57870;1008,14550
2021-01-21 04:00:00; 0,00000;   0,40000;  29,99100;   8,08333;-9999,00000;  32,37100;   0,00000;  34,70773;  15,33333;   5,00000;-9999,00000; 649,16670;   0,00000;  12,78667;   4,24350;  84,79417;   2,63333; 285,72754;1008,12494
2021-01-20 18:00:00; 0,00000;   0,80000;  29,75299;   6,33333;-9999,00000;  32,34125;   0,00000;  34,75100;  12,83333;   5,00000;-9999,00000; 650,41670;   0,00000;  12,90250;   4,24533;  87,70750;   4,03333; 288,69275;1010,44995
2021-01-20 19:00:00; 0,00000;   0,80000;  29,84225;   2,63636;-9999,00000;  32,37100;   0,00000;  34,75100;   8,45454;   5,00000;-9999,00000; 649,16670;   0,00000;  12,88442;   4,24467;  90,52167;   2,28333; 250,68314;1010,58330
2021-01-20 20:00:00; 0,00000;   0,75000;  29,90175;   5,25000;-9999,00000;  32,37100;   0,00000;  34,74108;  10,25000;   5,45455;-9999,00000;   0,00000;   0,00000;  12,86717;   4,24517;  89,70001;   2,12727; 263,71448;1010,55450
2021-01-20 21:00:00; 0,00000;   0,62727;  29,99100;   2,83333;-9999,00000;  32,37100;   0,00000;  34,72936;   8,00000;   5,00000;-9999,00000;   0,00000;   0,00000;  12,85242;   4,24367;  91,45499;   1,45000; 244,95972;1010,52496
2021-01-20 22:00:00; 0,00000;   0,60000;  29,99100;   4,66667;-9999,00000;  32,37100;   0,00000;  34,72125;  10,00000;   5,00000;-9999,00000; 973,75000;   0,00000;  12,84358;   4,24500;  88,17333;   2,18333; 275,17236;1010,10010
2021-01-20 16:00:00; 0,01950;   0,80000;  29,74308;   0,90909;-9999,00000;  32,27182;   0,00000;  34,75100;   6,18182;   5,00000;-9999,00000;   0,00000;   0,00000;  12,94725;   4,24542;  89,56001;   4,41818; 272,75220;1010,01820
