DATE; Talajhőmérséklet 0 cm; Külső akkufeszültség; Fényegység; Széllökés; Talajnedvesség 60 cm; Talajnedvesség 90 cm; Talajnedvesség 120 cm; Levélnedvesség; Levegő-páratartalom; Szélsebesség; Besugárzás; Talajnedvesség 30 cm; Napelem töltőfeszültség; Légnyomás; Szélirány; Belső akkufeszültség; Fagy; Csapadék; Levegő-hőmérséklet
2021-04-28 21:00:00; 11,10000;  12,88950; 325,58334;   9,81818;-9999,00000;  21,78000;-9999,00000;   1,25000;  80,85333;   4,90909;   0,00000;  24,04100;   0,01608;1002,46674; 237,67175;   4,20433;-9999,00000;   0,00000;  12,33333
2021-04-27 17:00:00; 11,05833;  13,05425;2722,83330;   2,00000;-9999,00000;  21,78000;-9999,00000;   0,00000;  43,14818;   0,50000;  15,83333;  24,04100;  13,51125;1002,14545;  56,39304;   4,21083;-9999,00000;   0,00000;  13,01818
2021-04-27 18:00:00; 11,10000;  12,99500;   8,75000;  11,09091;-9999,00000;  21,78000;-9999,00000;   0,00000;  44,78500;   5,63636;   0,00000;  24,04100;   0,43192;1002,26660;  65,32950;   4,20833;-9999,00000;   0,00000;  12,22500
2021-04-27 19:00:00; 11,06667;  12,96925;   0,16667;  14,66667;-9999,00000;  21,79983;-9999,00000;   0,00000;  43,40834;   8,91667;   0,00000;  24,04100;   0,01825;1002,36670;  64,98549;   4,20775;-9999,00000;   0,00000;  11,73333
2021-04-27 20:00:00; 10,98182;  12,95092;   3,08333;  12,58333;-9999,00000;  21,80163;-9999,00000;   0,00000;  43,97166;   7,25000;   0,00000;  24,04100;   0,01025;1002,44165;  65,88474;   4,20708;-9999,00000;   0,00000;  11,17500
2021-04-27 21:00:00; 10,90000;  12,93275;   0,16667;  12,54546;-9999,00000;  21,79983;-9999,00000;   0,00000;  42,67833;   7,36364;   0,00000;  24,04100;   0,01625;1002,57500;  61,48932;   4,20600;-9999,00000;   0,00000;  10,68333
2021-04-27 16:00:00; 10,94167;  13,24867;3895,00000;   5,66667;-9999,00000;  21,78000;-9999,00000;   0,00000;  38,00834;   2,25000;  78,75000;  24,04100;  17,63491;1001,96674;  52,47670;   4,21283;-9999,00000;   0,00000;  13,83333
2021-04-27 15:00:00; 10,85000;  13,33125;3895,00000;  10,81818;-9999,00000;  21,78000;-9999,00000;   0,00000;  35,86333;   5,18182; 154,58333;  24,04100;  18,86675;1002,09155;  58,47514;   4,21408;-9999,00000;   0,00000;  14,42500
2021-04-27 13:00:00; 10,50000;  13,42983;3895,00000;  13,41667;-9999,00000;  21,79081;-9999,00000;   0,00000;  34,81250;   7,00000; 451,81818;  24,04100;  20,76858;1002,55835;  63,91858;   4,21542;-9999,00000;   0,00000;  15,04167
2021-04-27 14:00:00; 10,70000;  13,42483;3895,00000;  14,16667;-9999,00000;  21,78000;-9999,00000;   0,00000;  34,02084;   6,41667; 384,16666;  24,04100;  20,41241;1002,14996;  68,04141;   4,21425;-9999,00000;   0,00000;  15,28333
2021-04-27 11:00:00; 10,09167;  13,41308;3895,00000;  12,25000;-9999,00000;  21,81966;-9999,00000;   0,00000;  35,78333;   5,50000; 616,66670;  24,04100;  20,94075;1003,26680;  44,18171;   4,21350;-9999,00000;   0,00000;  14,69167
