DATE; Levegő-hőmérséklet; Belső akkufeszültség; Külső akkufeszültség; Levegő-páratartalom; Napelem töltőfeszültség; Légnyomás; Szélirány; Talajhőmérséklet 0 cm; Csapadék; Levélnedvesség; Talajnedvesség 30 cm; Talajnedvesség 120 cm; Szélsebesség; Talajnedvesség 90 cm; Fényegység; Fagy; Széllökés; Talajnedvesség 60 cm; Besugárzás
2021-04-26 20:00:00; 8,74615;   4,24492;  12,93846;  60,60462;   0,00000;1001,07684; 134,42792;  12,21538;   0,00000;   0,00000;  18,51207;-9999,00000;   0,00000;  21,06600; 599,23080;-9999,00000;   0,61538;  16,90100;   0,00000
2021-04-26 19:00:00; 8,93333;   4,24542;  12,95683;  56,39000;   0,00000;1001,28326; 134,42792;  12,50000;   0,00000;   0,00000;  18,52733;-9999,00000;   0,00000;  21,06600; 649,16670;-9999,00000;   0,00000;  16,90100;   0,00000
2021-04-26 18:00:00; 9,17500;   4,24550;  12,97383;  59,80083;   0,48408;1001,09160; 134,42792;  12,81667;   0,00000;   0,00000;  18,56700;-9999,00000;   0,00000;  21,06600; 973,58330;-9999,00000;   0,08333;  16,90100;   0,00000
2021-04-26 17:00:00; 9,81667;   4,24733;  13,00208;  54,55166;  11,52817;1000,99994; 134,42792;  13,20000;   0,00000;   0,00000;  18,56700;-9999,00000;   0,00000;  21,06600; 325,66666;-9999,00000;   0,00000;  16,92083;   3,33333
2021-04-26 16:00:00; 10,47273;   4,24736;  13,07218;  52,38273;  16,20282;1001,20000; 134,42792;  13,50909;   0,00000;   0,00000;  18,56700;-9999,00000;   0,00000;  21,06600; 747,27270;-9999,00000;   0,63636;  17,00918;  22,27273
2021-04-26 15:00:00; 11,20000;   4,24815;  13,34892;  43,71462;  17,11469;1001,80770; 107,37904;  13,86154;   0,00000;   0,00000;  18,56700;-9999,00000;   0,23077;  21,06600; 109,30769;-9999,00000;   2,30769;  17,01999;  58,46154
2021-04-26 14:00:00; 11,74545;   4,24891;  13,40491;  40,46182;  19,44291;1002,23630;  95,71846;  14,09091;   0,00000;   0,00000;  18,61027;-9999,00000;   0,81818;  21,06600; 239,81818;-9999,00000;   3,36364;  17,02000; 117,72727
2021-04-26 13:00:00; 12,25385;   4,24900;  13,50184;  38,07769;  19,83108;1002,78455; 126,04638;  14,16154;   0,00000;   0,00000;  18,59446;-9999,00000;   2,38462;  21,06600; 740,23080;-9999,00000;   6,23077;  17,01999; 226,53847
2021-04-26 12:00:00; 11,92500;   4,24958;  13,49742;  37,69333;  20,06217;1003,83344; 147,18777;  14,38333;   0,00000;   0,00000;  18,68600;-9999,00000;   1,25000;  21,06600; 764,83330;-9999,00000;   4,33333;  17,02000; 190,41667
2021-04-26 11:00:00; 11,57500;   4,24917;  13,48350;  42,93250;  20,13358;1004,58325;  96,42257;  14,75000;   0,00000;   0,00000;  18,68600;-9999,00000;   1,25000;  21,06600; 758,83330;-9999,00000;   3,91667;  17,02000; 223,75000
2021-04-26 10:00:00; 12,47500;   4,24933;  13,55808;  37,74917;  20,42617;1005,22504; 118,55851;  14,56667;   0,00000;   0,00000;  18,68600;-9999,00000;   2,75000;  21,06600; 992,25000;-9999,00000;   7,00000;  17,12908; 431,25000
2021-04-26 09:00:00; 12,19167;   4,25017;  13,65008;  38,13667;  20,84983;1006,20830; 318,15210;  13,07500;   0,00000;   0,00000;  18,72566;-9999,00000;   2,50000;  21,06600;1157,08340;-9999,00000;   6,58333;  17,13900; 732,08330
2021-04-26 08:00:00; 11,52500;   4,25050;  13,57400;  39,44750;  21,08550;1006,57495; 110,95931;  11,44167;   0,00000;   0,00000;  18,79508;-9999,00000;   2,75000;  21,06600;1243,66660;-9999,00000;   6,58333;  17,13900; 667,91670
2021-04-26 07:00:00; 10,95454;   4,24891;  13,61618;  41,94818;  21,25964;1006,54550;  82,79168;  10,17273;   0,00000;   0,00000;  18,82663;-9999,00000;   2,63636;  21,06600; 952,63635;-9999,00000;   7,36364;  17,13900; 556,81820
2021-04-26 06:00:00; 9,17692;   4,24831;  13,67023;  47,48692;  20,91662;1006,35390;  91,56047;   9,45385;   0,00000;   0,00000;  18,90569;-9999,00000;   4,76923;  21,06600;1554,84620;-9999,00000;  10,07692;  17,13900; 420,76923
2021-04-26 05:00:00; 6,33333;   4,24327;  13,54891;  67,78000;  19,66618;1006,52490;  29,88269;   9,28182;   0,00000;   0,00000;  18,92400;-9999,00000;   1,27273;  21,06600; 819,90910;-9999,00000;   4,72727;  17,18227; 244,54546
2021-04-26 04:00:00; 2,80000;   4,24115;  12,79277;  82,99334;  16,95569;1006,30005;  26,39312;   9,47692;   0,00000;   4,23077;  18,92400;-9999,00000;   0,00000;  21,11176; 828,38464;-9999,00000;   0,15385;  17,25800;  52,69231
2021-04-26 03:00:00; 2,33333;   4,24082;  12,72645;  84,32416;  11,78954;1006,06670;  26,39312;   9,80000;   0,00000;   5,00000;  19,01054;-9999,00000;   0,00000;  21,12009;1233,63640;-9999,00000;   0,08333;  17,25800;   6,36364
2021-04-26 02:00:00; 2,43636;   4,24050;  12,75600;  84,92091;   0,06250;1006,01810;  26,39312;  10,23333;   0,00000;   5,00000;  19,04300;-9999,00000;   0,00000;  21,06600;   0,58333;-9999,00000;   0,18182;  17,25800;   0,00000
2021-04-26 01:00:00; 3,59231;   4,24158;  12,79167;  83,99539;   0,00000;1005,97690;  26,39312;  10,65000;   0,00000;   5,00000;  19,04300;-9999,00000;   0,00000;  21,06600; 478,08334;-9999,00000;   0,23077;  17,25800;   0,00000
2021-04-26 00:00:00; 4,36364;   4,24167;  12,81708;  86,14181;   0,00000;1005,73630;  36,36265;  11,08333;   0,00000;   5,00000;  19,14216;-9999,00000;   0,36364;  21,06600; 324,83334;-9999,00000;   2,36364;  17,25800;   0,00000
2021-04-25 23:00:00; 3,99231;   4,24277;  12,84885;  91,14308;   0,00000;1005,46170;  48,21120;  11,60769;   0,00000;   5,00000;  19,16200;-9999,00000;   0,00000;  21,06600; 142,46153;-9999,00000;   0,23077;  17,25800;   0,00000
2021-04-26 22:00:00; 8,02308;   4,24523;  12,89862;  71,22769;   0,00000;1000,95386; 134,42792;  11,77692;   0,00000;   0,00000;  18,44800;-9999,00000;   0,00000;  21,06600;   2,84615;-9999,00000;   0,00000;  16,90100;   0,00000
2021-04-27 21:00:00; 9,64615;   4,24592;  12,94377;  43,29230;   0,00000; 998,28455;  73,84631;  12,82308;   0,00000;   0,00000;  17,97200;-9999,00000;   2,69231;  20,94700; 599,23080;-9999,00000;   7,76923;  16,54399;   0,00000
2021-04-27 20:00:00; 10,43333;   4,24608;  12,95983;  43,60917;   0,00000; 998,22490;  74,96600;  13,25833;   0,00000;   0,00000;  17,97200;-9999,00000;   4,16667;  20,94700; 819,83330;-9999,00000;  10,16667;  16,54399;   0,00000
2021-04-27 19:00:00; 10,60833;   4,24775;  12,97967;  55,14999;   0,00000; 997,96660;  88,22822;  13,69167;   0,00000;   0,00000;  17,97200;-9999,00000;   1,91667;  20,94700; 802,91670;-9999,00000;   4,91667;  16,54399;   0,00000
