DATE; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Talajnedvesség 120 cm; Légnyomás; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség; Belső akkufeszültség; Besugárzás; Szélsebesség; Széllökés; Fényegység; Levegő-páratartalom; Levegő-hőmérséklet; Fagy; Külsõ akkufeszültség; Csapadék; Napelem töltőfeszültség; Talajnedvesség 90 cm
2021-01-09 00:00:00; 33,08965;  28,21619;-9999,00000;1006,20150;   1,86833;  34,61922;   1,34615;   4,24003;  55,72695;   0,99642;   2,80287;1570,28120;  85,66316;   0,29291;-9999,00000;  12,91518;   0,00000;   7,35678;  32,00345
2021-02-02 00:00:00; 35,29475;  30,24848;-9999,00000; 997,85767;   1,48541; 212,62468;   1,68421;   4,23079;  31,58363;   0,00360;   0,63669;1603,89930;  96,72675;  -0,51210;-9999,00000;  12,92261;   0,00076;   6,84781;  37,28769
2021-02-01 00:00:00; 34,72810;  30,08848;-9999,00000; 988,82540;   1,51352; 146,49585;   0,54196;   4,23736;  72,41993;   0,16487;   1,49821;1642,72570;  91,56156;  -1,16418;-9999,00000;  12,95502;   0,01523;   7,44195;  37,14242
2021-01-31 00:00:00; 35,19350;  30,27519;-9999,00000; 988,31060;   2,27082;  52,61654;   1,05263;   4,22997;  27,35816;   7,10753;  15,37276;1577,87840;  88,25250;   0,25445;-9999,00000;  12,90406;   0,00533;   6,62671;  37,36517
2021-01-30 00:00:00; 34,90070;  30,35052;-9999,00000; 985,37710;   2,59010; 291,80066;   2,67361;   4,24110;  71,01063;   1,02151;   3,70968;1666,59380;  89,62607;   5,57067;-9999,00000;  12,91409;   0,00076;   7,76701;  37,35724
2021-01-29 00:00:00; 36,78121;  30,19824;-9999,00000; 987,27560;   1,63110; 267,23712;   4,21329;   4,23747;  24,62898;   0,87143;   4,55357;1637,74300;  92,68008;   4,51950;-9999,00000;  12,79829;   0,01285;   6,32222;  36,91782
2021-03-06 00:00:00; 29,05376;  27,96664;-9999,00000;1015,21330;   4,51064; 348,56700;   0,00000;   4,24315; 123,84341;   1,36918;   5,56631;1927,09720;  54,73702;   2,14610;-9999,00000;-9999,00000;   0,00000;   9,51501;  30,44792
2021-01-21 00:00:00; 32,90243;  28,32424;-9999,00000; 999,99480;   1,22190; 210,22578;   0,00000;   4,24652;  69,96454;   2,81786;   8,86429;1673,79860;  78,68014;   6,09223;-9999,00000;  12,99020;   0,00000;   7,81020;  31,98709
2021-02-04 00:00:00; 33,73822;  29,99142;-9999,00000; 999,13890;   4,09965; 304,83667;   1,04167;   4,24609;  85,65371;   0,63929;   3,57500;1779,05210;  77,21963;   9,00071;-9999,00000;  12,99395;   0,00226;   8,32648;  36,14883
2021-02-03 00:00:00; 34,83761;  30,52716;-9999,00000; 997,47020;   2,28410; 219,70032;   1,96864;   4,23882;  57,06714;   0,12811;   2,24199;1702,73960;  91,99796;   4,84947;-9999,00000;  12,96645;   0,00000;   7,63880;  37,64648
