DATE; Napelem töltőfeszültség; Levegő-hőmérséklet; Talajhőmérséklet 0 cm; Talajnedvesség 90 cm; Szélirány; Csapadék; Szélsebesség; Talajnedvesség 120 cm; Talajnedvesség 30 cm; Belső akkufeszültség; Besugárzás; Légnyomás; Levegő-páratartalom; Talajnedvesség 60 cm; Külső akkufeszültség; Fagy; Levélnedvesség; Fényegység; Széllökés
2021-04-20 00:00:00; 11,48045;   9,06491;   9,01131;  22,01467; 327,26407;   0,01327;   2,25448;-9999,00000;  24,13103;   4,20876; 117,88732;1003,94147;  87,19852;-9999,00000;  13,18623;-9999,00000;   1,58537;2295,63180;   5,12903
2021-04-21 00:00:00; 11,69934;  11,84983;   9,61973;  21,96899; 213,84682;   0,00000;   4,09319;-9999,00000;  24,14830;   4,20935; 230,77464;1006,63300;  78,72775;-9999,00000;  13,16495;-9999,00000;   1,41115;2299,44430;   9,19355
2021-04-10 00:00:00; 11,20683;  10,41473;   7,23099;  22,13706; 181,48822;   0,00000;   5,88889;-9999,00000;  24,44492;   4,20751; 213,02120;1012,53190;  45,59109;-9999,00000;  13,13882;-9999,00000;   0,00000;2239,24320;  12,54480
2021-04-22 00:00:00; 11,28796;  12,78169;  10,58261;  21,95892; 227,23514;   0,00496;   6,46403;-9999,00000;  24,22159;   4,20822; 225,96830;1007,90106;  72,03575;-9999,00000;  13,10571;-9999,00000;   0,50523;2172,89230;  13,78777
2021-04-11 00:00:00; 11,18393;  12,43368;   8,25442;  22,13663; 194,13383;   0,00000;   4,48387;-9999,00000;  24,19953;   4,20844; 207,70175;1011,31930;  50,59479;-9999,00000;  13,12552;-9999,00000;   0,00000;2305,24320;   9,64875
2021-04-19 00:00:00; 11,10166;   8,76514;   8,57386;  22,01593; 125,92222;   0,00083;   2,65591;-9999,00000;  24,07719;   4,20664; 106,62544;1006,10785;  85,95247;-9999,00000;  13,12695;-9999,00000;   1,21951;2241,89230;   5,90323
2021-04-07 00:00:00; 11,38968;   3,67244;   6,75532;  22,30835; 302,92530;   0,00000;   4,07220;-9999,00000;  25,43820;   4,20878; 197,57092;1000,92615;  66,06307;-9999,00000;  13,21864;-9999,00000;   0,05263;2197,60060;   8,43321
2021-04-08 00:00:00; 11,58058;   3,06773;   6,45177;  22,25598; 296,29990;   0,00000;   7,47292;-9999,00000;  25,29265;   4,20858; 161,11702;1012,68060;  70,52362;-9999,00000;  13,26855;-9999,00000;   0,03509;2257,46880;  13,87004
2021-04-18 00:00:00; 10,34311;   7,33768;   8,13853;  22,01804;  64,10445;   0,02405;   1,73741;-9999,00000;  24,08052;   4,20418;  50,08834;1007,24835;  93,02082;-9999,00000;  13,08290;-9999,00000;   4,52797;2168,52080;   4,77698
2021-04-17 00:00:00; 11,83366;   6,52711;   7,70072;  22,01804;  51,46268;   0,00000;   2,49281;-9999,00000;  24,11868;   4,19997; 191,48410;1009,17350;  71,65675;-9999,00000;  13,22806;-9999,00000;   1,69580;2297,66670;   5,73381
