DATE; Talajnedvesség 60 cm; Talajnedvesség 30 cm; Széllökés; Szélirány; Talajhőmérséklet 0 cm; Levegő-hőmérséklet; Szélsebesség; Fagy; Fényegység; Talajnedvesség 90 cm; Levegő-páratartalom; Külső akkufeszültség; Légnyomás; Levélnedvesség; Besugárzás; Napelem töltőfeszültség; Belső akkufeszültség; Csapadék
2021-04-27 16:00:00; 25,11198;  29,22939;   6,32759; 100,73048;  15,22000;  13,50000;   4,46552;-9999,00000;3895,00000;  25,35603;  40,15800;  13,43811;1002,48004;   0,00000;  88,81356;  18,68110;   4,23725;   0,00000
2021-04-27 17:00:00; 25,11198;  29,23059;   4,03448; 109,55801;  14,68645;  13,01034;   2,79310;-9999,00000;3304,65000;  25,34998;  39,39156;  13,24902;1002,47050;   0,00000;  14,58333;  14,24542;   4,23763;   0,00000
2021-04-27 19:00:00; 25,11198;  29,12229;   8,89655;  57,51630;  13,56440;  11,06102;   6,58621;-9999,00000;  66,11667;  25,34797;  51,00747;  13,13795;1002,76780;   0,00000;   0,00000;   0,00000;   4,23730;   0,00000
2021-04-27 21:00:00; 25,11198;  29,03898;   8,05172;  28,18904;  12,74000;   9,52543;   5,98276;-9999,00000;   0,00000;  25,34998;  55,22168;  13,09665;1003,22530;   0,00000;   0,00000;   0,00000;   4,23737;   0,00000
2021-04-27 20:00:00; 25,11198;  29,05713;   8,94828;  43,93812;  13,13899;  10,58983;   6,58621;-9999,00000; 102,38333;  25,34998;  51,53441;  13,11569;1002,94900;   0,00000;   0,00000;   0,00000;   4,23668;   0,00000
2021-04-27 15:00:00; 25,10603;  29,21749;   7,10345;  65,47135;  15,52667;  14,17287;   4,82759;-9999,00000;3895,00000;  25,36754;  39,61847;  13,59838;1002,65753;   0,00000; 195,66667;  19,84340;   4,24018;   0,00000
2021-04-27 14:00:00; 25,11198;  29,15997;  10,86441;  35,43883;  15,74406;  14,20000;   7,57627;-9999,00000;3895,00000;  25,36007;  39,51067;  13,56575;1002,81350;   0,00000; 298,16666;  20,82195;   4,23837;   0,00000
2021-04-27 13:00:00; 25,11198;  29,15799;  11,63793;  63,19861;  15,54334;  14,85345;   7,89655;-9999,00000;3895,00000;  25,38370;  38,83259;  13,54522;1003,06550;   0,00000; 542,50000;  21,27450;   4,23843;   0,00000
2021-04-27 12:00:00; 25,11198;  29,11038;  10,00000;  58,39894;  14,84333;  14,61667;   6,43103;-9999,00000;3895,00000;  25,37577;  38,67484;  13,54268;1003,48810;   0,00000; 698,72880;  21,36655;   4,23893;   0,00000
2021-04-26 19:00:00; 25,11198;  29,13580;   2,46552; 337,08337;  12,36101;  10,13793;   1,36207;-9999,00000;  68,23333;  25,34998;  52,92966;  13,10176;1006,30206;   0,00000;   0,00000;   0,00000;   4,23482;   0,00000
2021-04-26 20:00:00; 25,11198;  29,09451;   1,53448; 337,09595;  12,08136;   9,85423;   0,58621;-9999,00000; 104,20339;  25,34998;  57,37965;  13,07561;1006,20150;   0,00000;   0,00000;   0,00000;   4,23451;   0,00000
2021-04-26 21:00:00; 25,11198;  29,03898;   2,01724; 337,10776;  11,82000;   9,17457;   1,12069;-9999,00000; 243,61667;  25,34998;  62,63373;  13,04743;1006,16790;   0,00000;   0,00000;   0,00000;   4,23437;   0,00000
2021-04-26 13:00:00; 25,23099;  29,23137;   6,53448; 320,39468;  14,58166;  12,58135;   4,22414;-9999,00000;3895,00000;  25,46701;  32,49237;  13,52282;1008,02185;   0,00000; 191,16667;  20,09013;   4,23664;   0,00000
2021-04-26 14:00:00; 25,23099;  29,23930;   6,81034; 351,07263;  14,27797;  12,21667;   4,60345;-9999,00000;3895,00000;  25,45511;  35,41183;  13,48196;1007,31850;   0,00000; 142,25000;  19,69473;   4,23633;   0,00000
2021-04-26 15:00:00; 25,22901;  29,24327;   8,12069; 357,80005;  13,95000;  11,94237;   5,70690;-9999,00000;3895,00000;  25,44519;  35,30068;  13,46078;1006,74396;   0,00000;  85,58334;  18,57253;   4,23553;   0,00000
2021-04-26 09:00:00; 25,23099;  29,03699;  10,51724;  23,18689;  12,43166;  11,58136;   6,72414;-9999,00000;3895,00000;  25,40949;  34,40797;  13,62363;1011,43220;   0,00000; 740,91670;  20,45640;   4,23625;   0,00000
2021-04-26 10:00:00; 25,23099;  29,07666;   9,96552;   0,35256;  13,34745;  12,43898;   6,25862;-9999,00000;3895,00000;  25,44718;  31,89780;  13,61275;1010,60990;   0,00000; 796,91670;  21,34093;   4,23579;   0,00000
2021-04-26 11:00:00; 25,23099;  29,13847;   6,37288; 104,78795;  14,19667;  13,12000;   3,66102;-9999,00000;3895,00000;  25,45908;  33,41783;  13,62173;1009,70180;   0,00000; 474,25000;  20,89411;   4,23760;   0,00000
2021-04-26 05:00:00; 25,12610;  28,92001;  14,61017;  38,75228;   9,37333;   6,45424;  11,40678;-9999,00000;3895,00000;  25,34998;  61,50017;  13,49438;1011,63390;   0,00000; 283,33334;  18,70954;   4,23380;   0,00000
2021-04-26 06:00:00; 25,22107;  28,92199;  17,78947;  28,95947;   9,83389;   8,41187;  13,47368;-9999,00000;3895,00000;  25,34998;  50,54848;  13,48542;1011,58110;   0,00000; 323,81357;  21,25263;   4,19683;   0,00000
2021-04-26 07:00:00; 25,23099;  28,94017;  15,31034;  51,56050;  10,53221;   9,65932;  11,20690;-9999,00000;3895,00000;  25,35200;  42,19102;  13,52953;1011,72534;   0,00000; 416,52542;  20,98870;   4,23830;   0,00000
2021-04-26 08:00:00; 25,23099;  29,00527;  10,48276;  40,08660;  11,48167;  10,71017;   7,01724;-9999,00000;3895,00000;  25,36982;  38,07288;  13,55298;1011,78490;   0,00000; 589,50000;  20,87050;   4,23715;   0,00000
2021-04-26 17:00:00; 25,22901;  29,20162;   4,25862; 306,25528;  13,08644;  10,94576;   2,82759;-9999,00000;1966,46670;  25,42260;  44,54457;  13,15917;1006,21030;   0,00000;   6,00000;  12,65645;   4,23500;   0,00000
2021-04-26 18:00:00; 25,13181;  29,15799;   3,65517; 322,40918;  12,69666;  10,55763;   2,18966;-9999,00000; 237,20000;  25,34998;  48,19965;  13,12685;1006,14233;   0,00000;   0,00000;   0,39738;   4,23503;   0,00000
2021-04-26 03:00:00; 25,16240;  28,94422;   5,20690; 341,93106;   9,20847;   2,78814;   3,75862;-9999,00000;2918,00000;  25,34998;  82,13697;  12,90935;1011,06805;   0,00000;  11,18644;  13,00532;   4,23440;   0,00000
